articleid,all,OK,MOST,HALF,LESS,NONE
6550,17,1,1,0,0,15
5625,16,3,0,1,0,12
5755,11,0,1,0,0,10
5567,16,2,0,0,0,14
6667,13,0,0,0,0,13
117,10,2,0,0,0,8
586,3,0,0,0,0,3
4987,10,0,0,1,0,9
105,11,3,0,0,0,8
10302,14,3,0,0,0,11
6658,18,0,0,0,0,18
12061,14,4,1,0,0,9
10836,6,1,0,0,0,5
6352,17,2,0,1,0,14
11778,4,2,0,0,0,2
5736,9,1,0,0,0,8
630,3,0,0,0,0,3
4864,6,0,0,0,0,6
5225,9,2,0,0,0,7
5428,8,0,0,0,0,8
5299,3,0,0,0,0,3
6671,14,3,0,0,0,11
5543,4,0,0,0,0,4
6163,17,0,1,0,0,14
6273,8,0,0,0,0,8
4783,18,2,0,0,0,16
error couldnt retrieve sheet no 4789
6625,12,0,0,0,0,12
5422,19,1,0,1,0,17
5079,10,0,0,0,0,10
6812,12,0,0,0,0,12
12216,17,4,1,0,0,12
11486,16,2,0,1,0,13
10200,10,4,0,0,0,6
4973,7,1,0,1,0,5
6802,11,1,1,0,0,9
4980,14,2,0,1,0,11
4938,14,1,0,0,0,13
5927,12,4,0,1,0,7
5368,16,3,0,2,0,11
6559,10,0,0,0,0,10
6591,9,0,0,0,0,9
5052,17,2,0,0,0,15
4733,10,1,0,0,0,9
89,19,3,0,0,0,16
5540,15,3,0,1,1,10
5940,10,0,0,0,0,10
5952,11,0,0,0,0,11
4669,9,1,0,1,0,7
6099,6,1,0,1,0,4
10913,10,2,0,0,0,8
11642,7,1,0,0,0,6
5472,4,0,0,0,0,4
12553,10,1,0,0,0,9
4826,11,1,0,0,0,10
5564,12,1,0,1,0,10
5249,15,7,0,0,0,8
4823,20,3,0,0,1,16
180,3,2,0,0,0,1
4698,10,3,0,1,0,6
10776,8,2,1,0,1,4
5193,7,1,1,0,0,5
5580,5,0,0,0,0,5
12676,53,1,1,0,0,51
4990,4,0,0,0,0,4
4800,3,0,0,0,0,3
4978,11,2,0,0,0,9
4892,12,2,1,0,0,9
11021,12,2,0,1,0,9
4725,9,1,0,0,0,8
10343,7,1,0,1,0,5
6230,15,0,0,1,0,14
11963,18,0,0,0,0,18
10874,11,2,1,0,0,8
6462,9,2,0,0,0,7
5148,12,2,0,0,0,9
5747,4,0,0,0,0,4
