placeobj, Ara, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 3, has_dupl, True, dup_count, 2
placeobj, Ara, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 3, has_dupl, True, dup_count, 2
placeobj, Ara, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 3, has_dupl, True, dup_count, 2
placeobj, Ara, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 3, has_dupl, True, dup_count, 2
placeobj, Ara, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 3, has_dupl, True, dup_count, 2
placeobj, Ara, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 3, has_dupl, True, dup_count, 2
placeobj, Ara, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 3, has_dupl, True, dup_count, 2
placeobj, Ara, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 3, has_dupl, True, dup_count, 2
placeobj, Ara, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 3, has_dupl, True, dup_count, 2
placeobj, Ara, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 3, has_dupl, True, dup_count, 2
placeobj, Ara, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 3, has_dupl, True, dup_count, 2
placeobj, Ara, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 3, has_dupl, True, dup_count, 2
placeobj, Ara, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 3, has_dupl, True, dup_count, 2
placeobj, Ara, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 3, has_dupl, True, dup_count, 2
placeobj, Arapawa Island, nums_ok, 1, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 0, has_dupl, False, dup_count, 0
placeobj, Arapawa, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 0, has_dupl, False, dup_count, 0
placeobj, Aria, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 1, has_dupl, True, dup_count, 1
placeobj, Aria, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 2, has_dupl, True, dup_count, 1
placeobj, Aria, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 2, has_dupl, True, dup_count, 1
placeobj, Ark, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 1, has_dupl, False, dup_count, 0
placeobj, Ark, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 1, has_dupl, False, dup_count, 0
placeobj, Ark, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 1, has_dupl, False, dup_count, 0
placeobj, Arno, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 1, has_dupl, False, dup_count, 0
placeobj, Arno, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 1, has_dupl, False, dup_count, 0
placeobj, Arno, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 1, has_dupl, False, dup_count, 0
placeobj, Arno, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 1, has_dupl, False, dup_count, 0
placeobj, Arno, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 1, has_dupl, False, dup_count, 0
placeobj, Arno, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 1, has_dupl, False, dup_count, 0
placeobj, Arno, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 1, has_dupl, False, dup_count, 0
placeobj, Arno, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 1, has_dupl, False, dup_count, 0
placeobj, Arno, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 1, has_dupl, False, dup_count, 0
placeobj, Arno, nums_ok, 0, nums_most, 0, nums_half, 0, nums_less, 0, nums_none, 1, has_dupl, False, dup_count, 0
